

=== PERIOD 1400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1400,2024-06-28 00:00:00,5490,BUY,60427.84,4.646047,Buy 4H,0.00,701918.54
1400,2024-07-01 16:00:00,5512,BUY,62899.99,4.536299,Buy 4H,0.00,713375.73
1400,2024-07-03 00:00:00,5520,SELL,60208.58,9.182346,SL DOWN Full,-13227.73,688606.98
1400,2024-07-03 00:00:00,5520,SHORT,60208.58,11.437024,Short on Stop (SL DOWN),0.00,688538.12
1400,2024-07-10 04:00:00,5563,COVER_SHORT,58977.99,11.437024,Buy Signal Trigger,0.00,702544.96
1400,2024-07-10 04:00:00,5563,BUY,58977.99,4.764318,Buy 4H,0.00,702516.85
1400,2024-07-13 08:00:00,5582,BUY,58830.63,4.771287,Buy 4H,0.00,701786.71
1400,2024-07-15 04:00:00,5593,BUY,62840.12,2.240400,Buy 4H,0.00,740005.55
1400,2024-08-03 00:00:00,5706,SELL,60697.99,11.776005,SL DOWN Full,12305.11,714708.33
1400,2024-08-03 00:00:00,5706,SHORT,60697.99,11.774827,Short on Stop (SL DOWN),0.00,714636.86
1400,2024-08-09 20:00:00,5747,COVER_SHORT,60837.99,11.774827,Buy Signal Trigger,0.00,712916.75
1400,2024-08-09 20:00:00,5747,BUY,60837.99,4.686844,Buy 4H,0.00,712888.24
1400,2024-08-10 08:00:00,5750,BUY,60515.89,4.701624,Buy 4H,0.00,711350.15
1400,2024-08-14 00:00:00,5772,SELL,58683.39,9.388469,SL DOWN Full,-18714.00,694090.68
1400,2024-08-14 00:00:00,5772,SHORT,58683.39,11.827720,Short on Stop (SL DOWN),0.00,694021.28
1400,2024-08-23 20:00:00,5831,COVER_SHORT,64037.24,11.827720,Buy Signal Trigger,0.00,630621.70
1400,2024-08-23 20:00:00,5831,BUY,64037.24,3.938700,Buy 4H,0.00,630596.47
1400,2024-08-24 00:00:00,5832,BUY,64157.01,5.897020,Buy 1D,0.00,631030.37
1400,2024-08-26 00:00:00,5844,SELL,62834.00,9.835720,SL UP Full,-12541.02,617955.82
1400,2024-08-26 00:00:00,5844,SHORT,62834.00,9.834736,Short on Stop (SL UP),0.00,617894.02
1400,2024-09-10 08:00:00,5936,COVER_SHORT,56596.00,9.834736,Buy Signal Trigger,0.00,679187.44
1400,2024-09-10 08:00:00,5936,BUY,56596.00,4.799770,Buy 4H,0.00,679160.28
1400,2024-09-13 16:00:00,5956,BUY,60498.00,4.613833,Buy 4H,0.00,697861.07
1400,2024-09-15 00:00:00,5964,SELL,59132.00,9.413604,SL UP Full,5869.72,684946.42
1400,2024-09-15 00:00:00,5964,SHORT,59132.00,11.583346,Short on Stop (SL UP),0.00,684877.92
1400,2024-09-18 00:00:00,5982,COVER_SHORT,61759.99,11.583346,Buy Signal Trigger,0.00,654365.47
1400,2024-09-18 00:00:00,5982,BUY,61759.99,10.594238,Buy 1D,0.00,654300.03
1400,2024-12-16 00:00:00,6516,SELL,106058.66,5.297119,TP After,234655.33,1123554.50
1400,2024-12-16 00:00:00,6516,SELL,106058.66,5.297119,TP Fixed,234655.33,1123498.32
1400,2024-12-16 00:00:00,6516,BUY,106058.66,10.592119,Buy 1D,0.00,1123385.97
1400,2024-12-18 00:00:00,6528,SELL,100204.01,10.592119,SL UP Full,-62013.15,1061266.68
1400,2024-12-18 00:00:00,6528,SHORT,100204.01,10.591060,Short on Stop (SL UP),0.00,1061160.56
1400,2025-01-01 16:00:00,6616,COVER_SHORT,94591.79,10.591060,Buy Signal Trigger,0.00,1120499.73
1400,2025-01-01 16:00:00,6616,BUY,94591.79,4.737780,Buy 4H,0.00,1120454.91
1400,2025-01-03 12:00:00,6627,BUY,97521.35,4.652196,Buy 4H,0.00,1134289.15
1400,2025-01-09 00:00:00,6660,SELL,92552.49,9.389976,SL DOWN Full,-32777.87,1087544.77
1400,2025-01-09 00:00:00,6660,SHORT,92552.49,11.750573,Short on Stop (SL DOWN),0.00,1087436.01
1400,2025-01-14 00:00:00,6690,COVER_SHORT,96560.86,11.750573,Buy Signal Trigger,0.00,1040221.91
1400,2025-01-14 00:00:00,6690,BUY,96560.86,4.308652,Buy 4H,0.00,1040180.30
1400,2025-01-17 00:00:00,6708,BUY,104077.48,5.996213,Buy 1D,0.00,1072504.38
1400,2025-01-19 00:00:00,6720,SELL,101331.57,10.304865,SL UP Full,4090.27,1044103.73
1400,2025-01-19 00:00:00,6720,SHORT,101331.57,10.303835,Short on Stop (SL UP),0.00,1043999.32
1400,2025-01-25 12:00:00,6759,COVER_SHORT,104897.79,10.303835,Buy Signal Trigger,0.00,1007145.49
1400,2025-01-25 12:00:00,6759,BUY,104897.79,3.840099,Buy 4H,0.00,1007105.21
1400,2025-01-26 00:00:00,6762,SELL,102620.00,3.840099,SL UP Full,-8746.94,998318.86
1400,2025-01-26 00:00:00,6762,SHORT,102620.00,9.728307,Short on Stop (SL UP),0.00,998219.03
1400,2025-03-12 08:00:00,7034,COVER_SHORT,81738.97,9.728307,Buy Signal Trigger,0.00,1201276.58
1400,2025-03-12 08:00:00,7034,BUY,81738.97,5.878011,Buy 4H,0.00,1201228.53
1400,2025-03-14 12:00:00,7047,BUY,84724.58,5.753495,Buy 4H,0.00,1218729.23
1400,2025-03-24 00:00:00,7104,BUY,87498.16,2.665558,Buy 4H,0.00,1250966.82
1400,2025-03-28 00:00:00,7128,SELL,84424.38,14.297064,SL DOWN Full,5864.33,1206900.08
