

=== PERIOD 1400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1800,2025-10-09 00:00:00,10512,SHORT,4369.08,463.967781,Short on Stop (SL DOWN),0.00,2026909.64


=== PERIOD 310D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
310,2025-04-23 00:00:00,558,BUY,1796.15,27.834535,Buy 1D,0.00,99995.00
310,2025-05-01 00:00:00,606,BUY,1838.31,27.196175,Buy 1D,0.00,101163.50
310,2025-07-10 00:00:00,1026,SELL,2951.06,27.515355,TP After,31204.46,162390.81
310,2025-07-10 00:00:00,1026,BUY,2951.06,27.509852,Buy 1D,0.00,162382.69
310,2025-08-13 00:00:00,1230,SELL,4745.97,27.512603,TP After,64984.88,261134.92
310,2025-08-13 00:00:00,1230,BUY,4745.97,27.507101,Buy 1D,0.00,261121.87
310,2025-08-14 00:00:00,1236,SELL,4551.07,55.019705,SL UP Full,54261.54,250373.49
310,2025-08-14 00:00:00,1236,SHORT,4551.07,55.014203,Short on Stop (SL UP),0.00,250348.45
310,2025-10-03 00:00:00,1536,COVER_SHORT,4512.67,55.014203,Buy Signal Trigger,0.00,252436.17
310,2025-10-03 00:00:00,1536,BUY,4512.67,27.966916,Buy 1D,0.00,252423.55
310,2025-10-09 00:00:00,1572,SELL,4369.08,27.966916,SL DOWN Full,-4015.77,248395.56
310,2025-10-09 00:00:00,1572,SHORT,4369.08,56.853058,Short on Stop (SL DOWN),0.00,248370.72


=== PERIOD 590D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
590,2024-05-21 00:00:00,216,BUY,3789.83,13.191885,Buy 1D,0.00,99995.00
590,2024-05-27 00:00:00,252,BUY,3892.38,12.844327,Buy 1D,0.00,101342.83
590,2024-05-29 00:00:00,264,SELL,3764.37,26.036211,SL UP Full,-1980.07,98000.13
590,2024-05-29 00:00:00,264,SHORT,3764.37,26.033608,Short on Stop (SL UP),0.00,97990.33
590,2024-06-05 00:00:00,306,COVER_SHORT,3866.31,26.033608,Buy Signal Trigger,0.00,95326.40
590,2024-06-05 00:00:00,306,BUY,3866.31,12.326594,Buy 1D,0.00,95321.63
590,2024-06-07 00:00:00,318,SELL,3677.81,12.326594,SL UP Full,-2323.56,92993.54
590,2024-06-07 00:00:00,318,SHORT,3677.81,25.285030,Short on Stop (SL UP),0.00,92984.24
590,2024-07-20 00:00:00,576,COVER_SHORT,3520.21,25.285030,Buy Signal Trigger,0.00,96960.26
590,2024-07-20 00:00:00,576,BUY,3520.21,13.770565,Buy 1D,0.00,96955.41
590,2024-07-21 00:00:00,582,BUY,3537.46,13.703415,Buy 1D,0.00,97188.10
590,2024-07-22 00:00:00,588,SELL,3443.04,27.473980,SL UP Full,-2356.55,94584.55
590,2024-07-22 00:00:00,588,SHORT,3443.04,27.471232,Short on Stop (SL UP),0.00,94575.09
590,2024-08-24 00:00:00,786,COVER_SHORT,2769.79,27.471232,Buy Signal Trigger,0.00,113062.49
590,2024-08-24 00:00:00,786,BUY,2769.79,20.407898,Buy 1D,0.00,113056.84
590,2024-08-26 00:00:00,798,SELL,2682.38,20.407898,SL DOWN Full,-1783.85,111267.51
590,2024-08-26 00:00:00,798,SHORT,2682.38,41.480890,Short on Stop (SL DOWN),0.00,111256.38
590,2024-09-20 00:00:00,948,COVER_SHORT,2561.87,41.480890,Buy Signal Trigger,0.00,116244.62
590,2024-09-20 00:00:00,948,BUY,2561.87,22.685186,Buy 1D,0.00,116238.81
590,2024-09-21 00:00:00,954,BUY,2614.40,22.229382,Buy 1D,0.00,117424.65
